Journal,Retraction_Count
Heliyon,43
PLoS One,24
BioMed Research International,24
Computational Intelligence and Neuroscience,18
Science of The Total Environment,16
Computational and Mathematical Methods in Medicine,16
Environmental Science and Pollution Research,14
Journal of Healthcare Engineering,12
Journal of Optical Communications,11
INNOVATIONS in pharmacy,9
