Publisher,Retraction_Count
Hindawi,111
Elsevier,45
Elsevier - Cell Press,43
PLoS,24
Springer,21
Springer - Nature Publishing Group,17
Wiley,13
De Gruyter,11
MDPI,9
University of Minnesota Libraries Publishing,9
