Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index,Retracted_Papers,Retraction_Rate_%,Retractions_per_10k
157,Angola,Africa,2825,2613,37678,3303,13.34,75,2,0.07079646017699115,7.079646017699115
159,Somalia,Africa,2568,2354,25799,2703,10.05,53,3,0.11682242990654204,11.682242990654204
163,Liberia,Africa,2231,1944,42849,1872,19.21,80,1,0.04482294935006724,4.482294935006724
165,French Guiana,Latin America,2216,2043,74710,4133,33.71,116,4,0.18050541516245489,18.050541516245488
166,Guyana,Latin America,1868,1615,30193,849,16.16,78,2,0.10706638115631692,10.706638115631693
167,Lesotho,Africa,1864,1598,25596,1253,13.73,64,2,0.1072961373390558,10.729613733905579
168,Burundi,Africa,1672,1536,32182,1150,19.25,76,20,1.1961722488038278,119.61722488038278
169,Faroe Islands,Western Europe,1672,1538,48301,3565,28.89,99,1,0.05980861244019139,5.980861244019138
173,Chad,Africa,1485,1422,24296,1495,16.36,66,4,0.26936026936026936,26.936026936026938
174,Central African Republic,Africa,1433,1313,32375,1489,22.59,80,2,0.13956734124214934,13.956734124214933
176,Maldives,Asiatic Region,1326,1130,18321,1391,13.82,58,4,0.301659125188537,30.1659125188537
178,Eritrea,Africa,1291,1170,25352,1010,19.64,71,1,0.0774593338497289,7.74593338497289
180,Bermuda,Latin America,1241,1111,70990,3110,57.2,123,3,0.24174053182917005,24.174053182917003
184,Belize,Latin America,1017,834,45361,787,44.6,73,2,0.19665683382497542,19.665683382497544
186,Samoa,Pacific Region,937,830,18301,1239,19.53,58,3,0.32017075773745995,32.017075773746
192,Turkmenistan,Asiatic Region,727,679,8750,792,12.04,43,1,0.1375515818431912,13.75515818431912
194,Dominica,Latin America,639,562,13106,211,20.51,56,1,0.1564945226917058,15.64945226917058
196,Cayman Islands,Latin America,586,520,10270,290,17.53,51,2,0.3412969283276451,34.129692832764505
203,Aruba,Latin America,405,322,7545,94,18.63,35,8,1.9753086419753085,197.53086419753086
207,Comoros,Africa,368,341,6725,369,18.27,35,1,0.2717391304347826,27.17391304347826
214,Anguilla,Latin America,184,161,19348,37,105.15,32,2,1.0869565217391304,108.69565217391305
216,Cook Islands,Pacific Region,181,167,5505,167,30.41,35,1,0.5524861878453038,55.248618784530386
