Reason,Occurrence_Count
Investigation by Journal/Publisher,258
Unreliable Results and/or Conclusions,219
Concerns/Issues about Referencing/Attributions,150
Investigation by Third Party,119
Concerns/Issues about Peer Review,109
Concerns/Issues about Data,99
Paper Mill,92
Concerns/Issues about Results and/or Conclusions,89
Computer-Aided Content or Computer-Generated Content,86
Objections by Author(s),82
Compromised Peer Review,77
Concerns/Issues about Authorship/Affiliation,34
